,screen_name,text,followers_count,favorite_count,retweet_count,created_at,location
66,Gunadiahmad3,"RT @do_ra_dong: Dalam diskusi terbatas lingkaran survey kalibata, ada beberapa poin penting dan informasi terkait rencana pemindahan ibukot…",802,0,540,2019-08-18 23:44:08,
67,AprianurSucian1,"RT @QiraniAyara: @aiek_esthreem @okezonenews Msh bnyk yg lbh urgent dr pd ngurusin pindah Ibukota

#BatalkanPindahIbuKota",68,0,3,2019-08-18 23:43:51,
68,lumbung45padi,"RT @do_ra_dong: Dalam diskusi terbatas lingkaran survey kalibata, ada beberapa poin penting dan informasi terkait rencana pemindahan ibukot…",23,0,540,2019-08-18 23:43:47,palestine
69,AiZZ4_Hilyy4,"RT @kyr4_: #KamiBersatuKawalUAS

...
Ibukota yg bukan hanya simbol, identitas bangsa. Tapi juga representasi kemajuan bangsa. 
.

#KamiBers…",1372,0,3,2019-08-18 23:43:40,
70,MuhammadRafal3,@liappuccino @BappenasRI Saya peduli kepada negeri saya dg tidak mendukung pemindahan ibukota😆,49,0,0,2019-08-18 23:43:25,
71,negamonsta,"#BatalkanPindahIbuKota
Kalo soal Jakarta katanya gampang tenggelam, coba baca2 soal kemungkinan jika es kutub menca… https://t.co/dLRtr6hypl",1,0,0,2019-08-18 23:43:17,
72,ikhsanalghfry,RT @rockygerung: Buat apa ibukota baru? Memerintah bisa dari smartphone. Kredit HP baru aja cukup.,173,0,1546,2019-08-18 23:43:00,Jakarta Capital Region
73,karsanto1986,RT @rockygerung: Buat apa ibukota baru? Memerintah bisa dari smartphone. Kredit HP baru aja cukup.,3,0,1546,2019-08-18 23:42:56,
74,AgusEdyHeriyan2,"RT @do_ra_dong: Dalam diskusi terbatas lingkaran survey kalibata, ada beberapa poin penting dan informasi terkait rencana pemindahan ibukot…",382,0,540,2019-08-18 23:42:54,Taman Yasmin Bogor Indonesia
75,seungyullll,"Gua tuh heran sm yg bikin ht batalkan pindah ibukota, kan itu cuma pusat pemerintah aja bukan pusat perekonomian ny… https://t.co/grBWo45cNo",1131,0,0,2019-08-18 23:42:52,exo;victon;x1
76,MezaraNisya,"RT @bayangan_semar: Wuakakakakakak
Aduh... Kena bener ini sama RG.

#KamiBersatuKawalUAS
@BecaknyaWiwis

Rocky Gerung: Buat Apa Ibukota Bar…",706,0,21,2019-08-18 23:41:47,
77,lndriati,RT @rockygerung: Buat apa ibukota baru? Memerintah bisa dari smartphone. Kredit HP baru aja cukup.,130,0,1546,2019-08-18 23:41:31,"Jakarta Selatan, DKI Jakarta"
78,wahjuSR,"RT @do_ra_dong: 8. Berdasarkan info terbatas

Ada aksi reaksi serta ada back up besar beijing dibalik rencana pemindahan ibukota kekalimant…",192,0,179,2019-08-18 23:41:29,
79,Rizal_almaun,RT @elisa_jkt: Saran: sebaiknya @BappenasRI @KemenPU hingga Presiden @jokowi tidak belajar dan tidak berkaca dari yang pindahkan ibukota (d…,293,0,46,2019-08-18 23:41:18,"Kota Surabaya, Jawa Timur"
80,fennirosa,"RT @bayangan_semar: Wuakakakakakak
Aduh... Kena bener ini sama RG.

#KamiBersatuKawalUAS
@BecaknyaWiwis

Rocky Gerung: Buat Apa Ibukota Bar…",13474,0,21,2019-08-18 23:40:46,NKRI
81,kuaajajaalajuja,"RT @rmol_id: Rocky Gerung: Buat Apa Ibukota Baru, Memerintah Kan Bisa Dari Smartphone #KlikRMOLID #RepublikMerdeka https://t.co/elSARwCiUr",172,0,226,2019-08-18 23:40:03,
82,MuhammadRafal3,@liappuccino @BappenasRI Solusinya adalah tunda dulu wacana penindahan ibukota tersebut.,49,0,0,2019-08-18 23:40:03,
83,anxxxr,"@KudusRenny @bbyhawt @yeurinha @DonyTriAnanda Makanya mba, dengan dijadikan ibukota harapannya kalimantan jadi maki… https://t.co/aGd4x2ApxX",1,0,0,2019-08-18 23:40:02,namkanda
84,permakbodi,RT @rockygerung: Buat apa ibukota baru? Memerintah bisa dari smartphone. Kredit HP baru aja cukup.,182,0,1546,2019-08-18 23:39:59,
85,Rightsidefirst,"RT @dr_koko28: Ibukota kita gak usah pindah. Cukup ke Bogor.

Itu juga gak perlu lahan baru. Pake aja sepetak lahan di Istana. Bangun gedun…",133,0,196,2019-08-18 23:39:42,
86,Handoyo_NP_06,"RT @rmol_id: Rocky Gerung: Buat Apa Ibukota Baru, Memerintah Kan Bisa Dari Smartphone #KlikRMOLID #RepublikMerdeka https://t.co/elSARwCiUr",881,0,226,2019-08-18 23:39:38,
87,ThisIsPipit,"RT @bayangan_semar: Wuakakakakakak
Aduh... Kena bener ini sama RG.

#KamiBersatuKawalUAS
@BecaknyaWiwis

Rocky Gerung: Buat Apa Ibukota Bar…",608,0,21,2019-08-18 23:38:10,
88,chaidar_2000,RT @rockygerung: Buat apa ibukota baru? Memerintah bisa dari smartphone. Kredit HP baru aja cukup.,3107,0,1546,2019-08-18 23:37:48,"Jakarta Barat, DKI Jakarta"
89,elviratabanan,"RT @dr_koko28: Ibukota kita gak usah pindah. Cukup ke Bogor.

Itu juga gak perlu lahan baru. Pake aja sepetak lahan di Istana. Bangun gedun…",348,0,196,2019-08-18 23:37:25,Bali
90,Soenan_AG,"RT @do_ra_dong: Dalam diskusi terbatas lingkaran survey kalibata, ada beberapa poin penting dan informasi terkait rencana pemindahan ibukot…",149,0,540,2019-08-18 23:36:59,"Kota Medan, Sumatera Utara"
91,olo_bhonz,RT @emilsalim2010: Presiden Jokowi minta izin DPR pindah ibukota Negara. Sebaiknya DPR buka kesempatan bagi publik umum mempersoalkan: apa…,200,0,2439,2019-08-18 23:36:05,
92,LindoTaehyung1,"RT @dr_koko28: Ibukota kita gak usah pindah. Cukup ke Bogor.

Itu juga gak perlu lahan baru. Pake aja sepetak lahan di Istana. Bangun gedun…",480,0,196,2019-08-18 23:35:40,
93,_Konnichiwa31_,"RT @bayangan_semar: Wuakakakakakak
Aduh... Kena bener ini sama RG.

#KamiBersatuKawalUAS
@BecaknyaWiwis

Rocky Gerung: Buat Apa Ibukota Bar…",296,0,21,2019-08-18 23:35:35,
94,Didipras2,RT @rockygerung: Buat apa ibukota baru? Memerintah bisa dari smartphone. Kredit HP baru aja cukup.,26,0,1546,2019-08-18 23:35:34,
95,Bintang_alfian,"RT @rmol_id: Rocky Gerung: Buat Apa Ibukota Baru, Memerintah Kan Bisa Dari Smartphone #KlikRMOLID #RepublikMerdeka https://t.co/elSARwCiUr",615,0,226,2019-08-18 23:35:27,
96,Zanzen16,"RT @jeansAprilia97: @RadenSyuhada8 Bearti nanti Jakarta dirubah dong namanya.. DKI(Daerah khusus Ibukota) 
Menjadi DMI (Daerah Mantan Ibuko…",284,0,7,2019-08-18 23:35:27,
97,JambiNoor,@Andrea65688808 Pemindahan ibukota memang bukan hanya soal infrastrukturnya. Tapi juga politik dan budaya. Budaya m… https://t.co/3l4tMNL8JO,350,1,0,2019-08-18 23:35:15,"Bogor, Jawa Barat"
98,LaskarSoedirman,"RT @do_ra_dong: Kami sudahi informasi terkait hasil diskusi lingkaran survey kalibata terkait rencana pemindahan ibukota 

Ada udang dibali…",80,0,193,2019-08-18 23:34:37,"Москва, Россия"
99,IamHell8,"RT @KasanMulyono: Rocky Gerung: Buat Apa Ibukota Baru, Memerintah Kan Bisa dari Smartphone https://t.co/MDJRDywFTd",208,0,4,2019-08-18 23:34:33,Earth
100,OdyiusJacare,"RT @KasanMulyono: Rocky Gerung: Buat Apa Ibukota Baru, Memerintah Kan Bisa dari Smartphone https://t.co/MDJRDywFTd",5876,0,4,2019-08-18 23:34:33,D hatimu
101,LaskarSoedirman,"RT @do_ra_dong: 13. Pemerintah china akan back up full agenda pemindahan ibukota ke kalimantan 

Sebagai bagian putus tangan kekuatan penga…",80,0,138,2019-08-18 23:34:22,"Москва, Россия"
102,Andybyu_,RT @rockygerung: Buat apa ibukota baru? Memerintah bisa dari smartphone. Kredit HP baru aja cukup.,0,0,1546,2019-08-18 23:34:17,
103,LaskarSoedirman,RT @do_ra_dong: 12. Maka kami katakan rencana pemindahan ibukota ke kalimantan adalah rencana agenda proxy china untuk periode kedua jokowi…,80,0,146,2019-08-18 23:34:15,"Москва, Россия"
104,yaakub_riski,"@dewifitr @GreenpeaceID @jokowi Kebakaran besar,tapi berita nya gak ada.

Ini Ketapang bukan Ibukota,tak perlu di b… https://t.co/SIyDRVGQt8",83,2,0,2019-08-18 23:34:10,
105,LaskarSoedirman,RT @do_ra_dong: 9. Agenda besar yang dimiliki soekarno terkait kajian dan rencana ganyang malaysia dipakai dalam bentuk dimensi berbeda ter…,80,0,124,2019-08-18 23:33:59,"Москва, Россия"
106,LaskarSoedirman,"RT @do_ra_dong: 8. Berdasarkan info terbatas

Ada aksi reaksi serta ada back up besar beijing dibalik rencana pemindahan ibukota kekalimant…",80,0,179,2019-08-18 23:33:55,"Москва, Россия"
107,elviratabanan,"RT @rmol_id: Rocky Gerung: Buat Apa Ibukota Baru, Memerintah Kan Bisa Dari Smartphone #KlikRMOLID #RepublikMerdeka https://t.co/elSARwCiUr",348,0,226,2019-08-18 23:33:55,Bali
108,hooseokookie,@noty0urrbae bandung ibukota periangan,1396,0,0,2019-08-18 23:33:50,fake love
109,LaskarSoedirman,"RT @do_ra_dong: 7. Ada agenda ""menunggangi"" dibalik rencana pemindahan ibukota dari Jakarta ke Kalimantan

Memanfaatkan studi dan kajian pr…",80,0,125,2019-08-18 23:33:44,"Москва, Россия"
110,sabaradi78,"RT @do_ra_dong: Dalam diskusi terbatas lingkaran survey kalibata, ada beberapa poin penting dan informasi terkait rencana pemindahan ibukot…",937,0,540,2019-08-18 23:33:38,Jakarta
111,hnr064,"RT @rmol_id: Rocky Gerung: Buat Apa Ibukota Baru, Memerintah Kan Bisa Dari Smartphone #KlikRMOLID #RepublikMerdeka https://t.co/elSARwCiUr",923,0,226,2019-08-18 23:33:34,"US: 2.138003,100.812940"
112,Eka_1212,"RT @dr_koko28: Ibukota kita gak usah pindah. Cukup ke Bogor.

Itu juga gak perlu lahan baru. Pake aja sepetak lahan di Istana. Bangun gedun…",192,0,196,2019-08-18 23:33:33,Indonesia
113,LaskarSoedirman,"RT @do_ra_dong: 5. Banyak pihak yang menyebut, rencana pemindahan ibukota oleh Jokowi adalah rencana sekedar agenda taipan ataupun bagi-bag…",80,0,139,2019-08-18 23:33:32,"Москва, Россия"
114,kyr4_,"#KamiBersatuKawalUAS

...
Ibukota yg bukan hanya simbol, identitas bangsa. Tapi juga representasi kemajuan bangsa.… https://t.co/AEiRyatrSt",2235,7,3,2019-08-18 23:33:26,"Utrecht, The Netherlands"
115,Karebet_mateo,"RT @do_ra_dong: Dalam diskusi terbatas lingkaran survey kalibata, ada beberapa poin penting dan informasi terkait rencana pemindahan ibukot…",345,0,540,2019-08-18 23:33:14,"Jatinegara, Indonesia"
116,LaskarSoedirman,"RT @do_ra_dong: Dalam diskusi terbatas lingkaran survey kalibata, ada beberapa poin penting dan informasi terkait rencana pemindahan ibukot…",80,0,540,2019-08-18 23:33:02,"Москва, Россия"
117,hnr064,"RT @dr_koko28: Ibukota kita gak usah pindah. Cukup ke Bogor.

Itu juga gak perlu lahan baru. Pake aja sepetak lahan di Istana. Bangun gedun…",923,0,196,2019-08-18 23:32:56,"US: 2.138003,100.812940"
118,KMidi82,"RT @rmol_id: Rocky Gerung: Buat Apa Ibukota Baru, Memerintah Kan Bisa Dari Smartphone #KlikRMOLID #RepublikMerdeka https://t.co/elSARwCiUr",774,0,226,2019-08-18 23:32:39,
119,LaskarSoedirman,RT @rockygerung: Buat apa ibukota baru? Memerintah bisa dari smartphone. Kredit HP baru aja cukup.,80,0,1546,2019-08-18 23:32:39,"Москва, Россия"
120,lndriati,"RT @rmol_id: Rocky Gerung: Buat Apa Ibukota Baru, Memerintah Kan Bisa Dari Smartphone #KlikRMOLID #RepublikMerdeka https://t.co/elSARwCiUr",130,0,226,2019-08-18 23:32:16,"Jakarta Selatan, DKI Jakarta"
121,diahtriani_p,RT @rockygerung: Buat apa ibukota baru? Memerintah bisa dari smartphone. Kredit HP baru aja cukup.,175,0,1546,2019-08-18 23:31:59,"Kuningan, Jawa Barat"
122,LaeGaligo,"RT @bayangan_semar: Wuakakakakakak
Aduh... Kena bener ini sama RG.

#KamiBersatuKawalUAS
@BecaknyaWiwis

Rocky Gerung: Buat Apa Ibukota Bar…",530,0,21,2019-08-18 23:31:59,Bugis _ Indonesia Barat (WIB)
123,lndriati,"RT @dr_koko28: Ibukota kita gak usah pindah. Cukup ke Bogor.

Itu juga gak perlu lahan baru. Pake aja sepetak lahan di Istana. Bangun gedun…",130,0,196,2019-08-18 23:31:47,"Jakarta Selatan, DKI Jakarta"
124,LaeGaligo,"RT @KasanMulyono: Rocky Gerung: Buat Apa Ibukota Baru, Memerintah Kan Bisa dari Smartphone https://t.co/MDJRDywFTd",530,0,4,2019-08-18 23:31:46,Bugis _ Indonesia Barat (WIB)
125,aliflapasere,"RT @rmol_id: Rocky Gerung: Buat Apa Ibukota Baru, Memerintah Kan Bisa Dari Smartphone #KlikRMOLID #RepublikMerdeka https://t.co/elSARwCiUr",257,0,226,2019-08-18 23:31:34,
126,yani_cihuy,@korantempo Tdk ada yg buru2. Sdh saatnya ibukota dipindah supaya pembangunan semakin merata ditiap propinsi. Masya… https://t.co/iRfGN0mRg2,53,0,0,2019-08-18 23:31:13,
127,Assa_yangg,"@Aldarydit1 Selamat untuk daerah Kalimantan dan sekitar nya ,Ibukota deket sama kaliaan",143,0,0,2019-08-18 23:31:11,"Ngawi, Indonesia"
